seniority,home,time,age,marital,records,job,expenses,income,assets,debt,amount,price,default_final
38,owner,48,57,married,no,freelance,45,58.0,12000.0,0.0,1500,3262,0
2,rent,60,33,married,no,fixed,73,130.0,0.0,0.0,1100,1610,0
4,owner,60,33,married,no,fixed,75,123.0,6000.0,1000.0,600,1030,0
0,rent,36,29,married,no,partime,78,180.0,0.0,0.0,650,650,1
2,other,48,23,single,no,fixed,35,140.0,0.0,0.0,1950,2175,1
8,owner,24,33,married,no,fixed,75,298.0,4500.0,0.0,400,1780,0
1,rent,36,24,married,no,partime,76,164.0,0.0,0.0,900,950,1
6,other,60,28,married,no,freelance,90,298.0,7000.0,0.0,1200,1211,1
5,owner,60,27,married,no,fixed,45,135.0,5000.0,1400.0,1600,1650,0
13,other,36,33,single,no,fixed,35,109.0,0.0,0.0,350,350,1
11,rent,60,32,married,no,fixed,79,185.0,0.0,0.0,950,1117,0
10,owner,24,39,married,no,fixed,45,217.0,9000.0,2500.0,1500,2468,0
20,owner,60,51,married,no,freelance,90,298.0,12500.0,2500.0,1340,1740,1
0,owner,36,39,single,no,freelance,35,0.0,4000.0,0.0,1000,1210,1
13,owner,48,29,married,no,fixed,60,253.0,3000.0,0.0,670,963,0
2,owner,36,32,married,no,fixed,75,101.0,1500.0,400.0,1200,1646,1
3,owner,36,40,married,yes,freelance,35,200.0,10000.0,0.0,800,800,1
12,owner,36,47,married,no,fixed,75,124.0,3500.0,0.0,460,470,0
20,owner,24,66,married,no,fixed,45,143.0,10000.0,0.0,950,1370,0
3,owner,48,39,other,no,freelance,35,250.0,4000.0,1500.0,700,839,0
27,owner,60,50,married,no,fixed,75,135.0,5500.0,1000.0,600,1346,0
4,rent,60,25,married,no,fixed,57,115.0,0.0,0.0,900,1350,0
1,owner,60,27,married,no,partime,75,160.0,4000.0,2500.0,1800,2100,1
18,rent,60,54,married,no,fixed,66,214.0,0.0,0.0,1300,1307,0
12,rent,60,42,married,no,fixed,114,298.0,0.0,0.0,1100,1126,0
12,owner,48,35,other,no,freelance,45,298.0,20000.0,0.0,2380,4786,0
0,other,60,23,single,no,partime,35,95.0,0.0,0.0,1400,1478,1
12,owner,60,52,married,no,fixed,75,200.0,12000.0,0.0,1550,1568,0
0,other,24,22,single,no,partime,35,85.0,0.0,0.0,650,1056,0
10,other,18,48,married,no,fixed,90,214.0,0.0,0.0,1000,1608,0
2,owner,60,25,married,no,fixed,75,140.0,3000.0,0.0,950,1179,0
10,other,60,26,married,no,fixed,45,60.0,0.0,0.0,1400,1524,1
8,owner,60,28,married,no,fixed,75,180.0,4000.0,0.0,1300,1730,0
20,owner,30,62,married,no,freelance,60,298.0,20000.0,2500.0,600,823,0
0,rent,60,33,married,no,freelance,65,200.0,0.0,0.0,700,800,0
16,other,60,41,married,no,fixed,75,242.0,0.0,0.0,1300,1482,0
4,owner,60,29,married,no,partime,60,155.0,5000.0,2500.0,900,1110,0
1,rent,60,37,single,no,fixed,45,100.0,0.0,0.0,1150,1555,1
0,owner,60,31,married,no,fixed,60,105.0,3500.0,0.0,1100,1170,0
15,owner,12,50,married,no,freelance,45,166.0,2000.0,0.0,500,886,0
13,rent,60,42,other,yes,fixed,47,120.0,0.0,0.0,800,1395,1
19,owner,36,33,married,no,fixed,60,115.0,6700.0,2000.0,1000,2084,0
15,owner,24,54,married,no,freelance,90,298.0,20000.0,0.0,3800,8800,0
40,owner,36,58,married,no,freelance,75,0.0,20000.0,0.0,1000,1160,0
9,rent,60,40,married,no,fixed,119,298.0,6000.0,1947.0,900,1211,0
12,other,60,31,other,yes,fixed,35,101.0,0.0,0.0,1300,1300,1
0,owner,36,35,married,yes,fixed,105,122.0,5200.0,2000.0,850,850,1
14,owner,60,64,married,no,freelance,60,250.0,10000.0,0.0,700,1204,0
10,other,24,29,single,no,freelance,35,90.0,0.0,0.0,600,1528,0
2,owner,48,33,married,no,fixed,45,160.0,6000.0,0.0,1200,1298,0
15,owner,18,35,married,no,freelance,60,298.0,4000.0,0.0,300,600,0
1,other,48,28,single,no,fixed,35,83.0,0.0,0.0,1000,1320,1
27,owner,60,59,married,no,freelance,45,0.0,11000.0,0.0,1100,1300,0
0,other,60,25,married,no,partime,60,60.0,0.0,0.0,1300,1380,1
0,other,60,23,single,no,partime,35,205.0,0.0,0.0,1400,1426,1
3,owner,24,30,married,no,freelance,75,133.0,12000.0,900.0,1500,5200,0
8,rent,36,36,married,no,fixed,78,179.0,0.0,0.0,900,1503,0
3,owner,48,25,single,no,freelance,35,0.0,4000.0,0.0,1200,1449,0
5,other,60,22,single,no,fixed,45,195.0,0.0,0.0,700,1422,0
9,owner,24,45,married,no,fixed,75,112.0,4000.0,0.0,500,1430,0
4,owner,30,47,married,no,freelance,90,210.0,15000.0,0.0,1550,1578,0
14,owner,48,36,married,no,fixed,75,155.0,3500.0,200.0,1100,1250,0
3,owner,36,36,single,yes,freelance,35,298.0,16000.0,0.0,1500,2260,0
22,rent,36,60,married,no,fixed,60,149.0,0.0,0.0,200,280,0
20,rent,48,59,married,no,fixed,57,120.0,0.0,0.0,800,1298,0
6,owner,48,58,married,yes,freelance,60,298.0,20000.0,0.0,930,945,1
23,owner,12,37,married,no,fixed,45,165.0,5000.0,0.0,900,1694,0
5,owner,36,32,married,no,freelance,75,125.0,6000.0,0.0,600,700,1
8,rent,48,26,single,no,fixed,42,74.0,0.0,0.0,600,1290,0
5,owner,60,40,married,no,fixed,75,86.0,4900.0,0.0,1300,1581,0
20,owner,48,55,married,no,fixed,45,185.0,5000.0,0.0,1000,1383,0
11,rent,60,30,married,no,fixed,77,165.0,0.0,0.0,1350,1637,0
25,other,54,43,married,no,fixed,75,110.0,7000.0,0.0,1275,1275,0
2,rent,60,28,married,no,fixed,74,138.0,0.0,0.0,1400,1400,1
20,owner,24,47,married,no,freelance,75,298.0,5000.0,0.0,600,832,0
9,owner,36,29,single,no,fixed,35,147.0,3500.0,0.0,1886,2886,0
0,rent,60,48,other,yes,freelance,35,0.0,20000.0,2500.0,1200,1257,1
18,other,60,34,married,no,fixed,60,112.0,6550.0,0.0,600,1346,0
20,owner,60,53,married,yes,freelance,75,298.0,6500.0,0.0,800,1138,0
6,owner,12,44,married,no,fixed,45,110.0,15000.0,0.0,300,1801,0
0,owner,48,49,married,no,partime,45,75.0,2000.0,0.0,900,1200,1
0,rent,36,51,married,no,fixed,113,230.0,0.0,0.0,950,950,0
14,other,60,34,married,no,fixed,75,85.0,8000.0,0.0,1400,1589,0
10,owner,48,42,married,no,freelance,75,210.0,4000.0,120.0,1200,1617,0
19,owner,60,34,married,no,fixed,75,125.0,5000.0,0.0,1200,1200,0
11,owner,60,46,married,no,fixed,75,149.0,3500.0,0.0,1400,2194,0
1,owner,48,31,married,no,fixed,75,201.0,2500.0,96.0,1100,1642,0
13,other,60,31,married,no,fixed,60,105.0,0.0,0.0,1200,1423,1
4,rent,12,33,married,no,fixed,78,183.0,0.0,0.0,600,1600,0
9,rent,24,30,single,yes,fixed,46,113.0,0.0,0.0,700,700,1
1,owner,24,27,married,no,fixed,45,126.0,3000.0,2500.0,200,300,0
4,owner,36,48,married,no,freelance,120,298.0,5000.0,0.0,1000,1165,0
2,owner,60,33,married,no,fixed,75,160.0,6000.0,0.0,1000,1365,0
2,owner,12,44,married,no,fixed,90,160.0,7500.0,0.0,500,1706,0
0,other,36,48,married,yes,freelance,45,0.0,0.0,0.0,1600,2053,1
21,owner,60,57,married,no,freelance,60,95.0,8000.0,0.0,1000,1700,0
12,owner,60,34,married,yes,fixed,75,125.0,5500.0,2500.0,950,1462,0
9,rent,60,38,married,no,fixed,87,120.0,0.0,0.0,1177,1300,0
2,rent,36,35,married,no,fixed,126,298.0,0.0,0.0,870,1122,0
24,owner,60,52,married,no,fixed,45,80.0,4000.0,0.0,1200,1257,0
1,other,60,28,single,no,partime,35,67.0,0.0,0.0,1050,1387,0
15,owner,48,46,married,no,fixed,90,148.0,12000.0,0.0,1000,1266,0
19,owner,60,56,married,yes,fixed,45,298.0,8000.0,0.0,1700,2195,0
10,owner,24,52,married,no,fixed,75,298.0,4500.0,700.0,700,2004,0
19,owner,60,35,married,no,fixed,75,185.0,4000.0,0.0,1100,1203,0
10,owner,36,45,married,yes,freelance,60,0.0,9500.0,250.0,750,1138,0
4,other,48,29,married,no,fixed,45,194.0,0.0,0.0,1200,1374,0
1,other,60,22,single,no,fixed,35,80.0,3000.0,0.0,1500,1514,1
2,owner,24,33,married,yes,fixed,75,147.0,2000.0,900.0,400,750,0
5,owner,24,41,married,no,freelance,105,156.0,10000.0,0.0,800,1894,0
11,owner,36,37,married,no,fixed,75,178.0,3000.0,0.0,1000,1048,0
23,owner,24,46,married,no,fixed,75,130.0,4000.0,0.0,400,1369,0
4,other,36,19,single,no,partime,35,63.0,0.0,0.0,1000,1035,1
5,other,36,22,single,no,fixed,35,88.0,0.0,0.0,750,1218,1
15,other,60,31,married,no,fixed,45,140.0,0.0,0.0,1200,1637,0
1,owner,60,44,married,no,partime,45,115.0,2000.0,0.0,750,953,1
9,owner,60,48,married,yes,fixed,60,83.0,2500.0,0.0,1100,1212,0
4,owner,36,31,married,no,fixed,60,144.0,3000.0,0.0,1000,1218,0
20,owner,24,53,married,no,freelance,45,200.0,20000.0,0.0,1000,1419,0
10,other,60,36,married,no,fixed,90,172.0,3000.0,0.0,1100,1100,0
2,owner,60,46,married,no,freelance,105,200.0,4000.0,500.0,900,987,0
15,owner,60,37,married,no,fixed,60,298.0,7000.0,0.0,1900,2400,0
8,owner,60,34,married,no,fixed,60,177.0,6300.0,2500.0,1370,1375,0
4,owner,48,36,married,no,fixed,60,133.0,4000.0,0.0,1000,1595,0
4,owner,60,64,single,no,other,35,150.0,9000.0,0.0,984,1054,0
1,owner,36,27,single,no,fixed,35,208.0,9000.0,0.0,1000,1651,0
10,owner,30,26,married,no,fixed,75,145.0,1434.0,0.0,300,1542,0
32,owner,60,53,married,no,fixed,60,157.0,5000.0,0.0,2000,2014,0
12,owner,60,50,married,no,fixed,45,190.0,9500.0,200.0,1800,2624,0
0,other,60,21,single,no,partime,35,86.0,0.0,0.0,1000,1135,1
20,other,24,40,single,no,fixed,35,90.0,0.0,0.0,600,1105,0
6,rent,60,49,married,yes,partime,100,100.0,20000.0,0.0,1500,1500,0
4,rent,24,40,married,yes,fixed,56,214.0,0.0,0.0,800,1200,1
1,rent,60,37,single,no,fixed,45,100.0,0.0,0.0,1150,1555,0
2,rent,48,25,married,no,fixed,57,117.0,0.0,0.0,800,2251,0
25,owner,18,40,married,no,fixed,45,110.0,4000.0,0.0,455,1542,0
1,rent,36,22,married,no,fixed,62,168.0,0.0,0.0,1200,2186,0
10,owner,48,49,married,no,freelance,45,150.0,9000.0,0.0,1700,1700,0
2,owner,60,34,married,no,fixed,45,166.0,7000.0,0.0,600,1180,0
13,rent,24,49,married,no,freelance,90,0.0,0.0,0.0,700,800,1
10,rent,60,43,married,no,freelance,90,0.0,0.0,0.0,1350,1668,1
20,owner,36,42,married,no,freelance,90,250.0,4500.0,0.0,1500,1750,0
10,owner,48,28,married,yes,partime,60,120.0,2500.0,1500.0,600,875,0
1,owner,60,30,married,no,freelance,35,236.0,3500.0,1000.0,1000,1514,0
1,owner,60,25,other,yes,partime,45,277.0,6000.0,2500.0,1700,1950,1
0,other,60,22,single,no,partime,35,55.0,0.0,0.0,950,1462,1
5,other,36,27,single,no,fixed,35,200.0,4000.0,0.0,600,1098,0
3,other,60,26,single,no,fixed,45,235.0,0.0,0.0,800,840,0
0,owner,48,28,married,no,fixed,45,80.0,1500.0,0.0,1260,1634,1
6,owner,48,35,married,no,freelance,45,200.0,7000.0,0.0,1540,1603,0
21,owner,60,51,married,no,fixed,45,140.0,3000.0,0.0,1200,1200,0
5,rent,60,24,married,no,fixed,73,125.0,0.0,0.0,700,1360,0
12,rent,60,34,married,no,fixed,94,185.0,0.0,0.0,1200,1236,0
13,owner,42,34,married,no,fixed,105,190.0,2500.0,300.0,1100,1395,0
10,owner,60,49,married,no,freelance,60,150.0,20000.0,0.0,1200,1390,0
6,owner,60,28,married,no,fixed,60,102.0,5000.0,0.0,700,1355,0
18,rent,60,57,married,no,fixed,77,170.0,4000.0,0.0,1300,1604,0
15,owner,60,63,married,no,fixed,60,298.0,3500.0,266.0,1000,1241,0
0,rent,12,37,married,no,other,88,130.0,0.0,0.0,250,375,1
2,owner,36,27,married,no,fixed,45,156.0,6000.0,0.0,700,1045,0
18,rent,60,39,married,no,fixed,93,177.0,0.0,0.0,800,1781,0
12,owner,36,64,single,yes,freelance,60,298.0,4500.0,0.0,900,900,0
25,owner,48,49,married,no,freelance,105,240.0,12000.0,2500.0,1660,1698,0
8,owner,12,49,married,no,freelance,60,142.0,6000.0,0.0,200,1048,0
20,owner,36,45,married,no,freelance,75,298.0,5000.0,0.0,1000,2200,0
3,other,60,27,single,no,fixed,35,125.0,5000.0,0.0,770,1119,0
2,other,36,30,married,no,fixed,45,170.0,0.0,0.0,700,1090,0
2,owner,36,33,married,no,freelance,75,220.0,16000.0,500.0,3000,4100,1
15,owner,36,40,married,no,fixed,60,230.0,8500.0,480.0,700,1400,0
3,owner,60,30,other,no,fixed,60,157.0,15000.0,0.0,1000,2010,0
4,other,12,30,married,no,fixed,60,298.0,16000.0,0.0,1900,2014,0
3,owner,60,25,married,no,partime,60,120.0,3500.0,200.0,1000,1342,0
9,rent,60,40,single,no,fixed,44,91.0,0.0,0.0,1000,1132,0
4,owner,42,50,married,no,freelance,60,150.0,7000.0,0.0,900,1048,1
2,owner,36,23,single,no,fixed,35,88.0,5500.0,0.0,750,1218,0
1,other,48,28,single,no,partime,35,120.0,0.0,0.0,900,1114,0
2,rent,60,35,married,yes,freelance,75,0.0,0.0,0.0,1000,1206,1
2,rent,60,27,married,no,fixed,56,106.0,0.0,0.0,650,2132,0
2,other,36,19,married,no,fixed,35,162.0,4000.0,100.0,400,570,0
3,other,60,39,married,no,fixed,45,77.0,0.0,0.0,1000,1094,0
8,owner,36,39,married,no,fixed,75,128.0,2500.0,0.0,550,550,0
10,owner,48,55,other,no,fixed,35,189.0,9000.0,0.0,1200,1255,0
10,owner,36,32,married,no,freelance,60,298.0,20000.0,2500.0,2000,4138,0
5,owner,60,54,married,no,freelance,60,92.0,6000.0,1700.0,1700,1714,0
20,owner,48,58,married,no,freelance,60,298.0,20000.0,0.0,1100,1150,0
5,owner,24,37,married,no,freelance,75,298.0,14000.0,0.0,1500,2673,0
20,other,60,36,married,no,freelance,60,130.0,0.0,0.0,1200,1630,0
12,owner,60,28,married,no,fixed,45,141.0,6000.0,400.0,1100,1544,0
13,owner,60,38,married,no,fixed,75,220.0,6500.0,2500.0,1000,1195,0
11,owner,36,26,married,no,fixed,60,146.0,5000.0,1300.0,400,1206,0
17,owner,60,41,married,no,freelance,75,250.0,13500.0,2500.0,1400,2050,0
6,owner,36,42,married,no,fixed,60,132.0,6000.0,0.0,1200,1513,0
22,owner,6,46,married,no,freelance,90,150.0,20000.0,0.0,3000,3300,0
25,rent,60,52,married,no,fixed,73,127.0,0.0,0.0,1030,1250,0
8,owner,60,30,married,no,partime,60,90.0,3000.0,500.0,1000,1339,1
19,owner,60,47,married,yes,freelance,90,166.0,12500.0,1000.0,875,875,1
3,owner,18,66,married,no,other,45,69.0,12000.0,0.0,500,1101,0
35,owner,60,54,married,no,fixed,45,182.0,4000.0,0.0,1000,1568,0
0,owner,42,65,married,no,other,45,77.0,4000.0,2000.0,750,1194,0
7,other,60,25,married,no,fixed,45,50.0,0.0,0.0,950,1378,1
3,owner,60,31,single,no,fixed,35,131.0,4000.0,0.0,1050,1139,0
1,other,24,23,single,no,fixed,35,62.0,0.0,0.0,350,350,0
5,owner,60,35,married,no,fixed,75,60.0,3000.0,400.0,1150,1406,1
2,owner,60,47,married,no,fixed,90,86.0,4500.0,0.0,1200,1497,0
13,rent,36,28,married,no,fixed,59,143.0,0.0,0.0,1400,1600,1
27,rent,60,50,married,yes,fixed,87,120.0,0.0,0.0,1300,1350,1
3,other,60,25,single,no,fixed,35,283.0,0.0,0.0,2000,2032,1
0,owner,36,39,married,no,fixed,60,138.0,3000.0,0.0,1400,2610,0
1,owner,12,46,married,no,other,90,90.0,2000.0,600.0,500,1193,0
1,rent,60,36,married,yes,fixed,85,99.0,0.0,0.0,1200,1275,1
10,owner,36,39,married,yes,freelance,75,160.0,15000.0,0.0,3250,3750,1
1,owner,60,25,married,no,partime,60,298.0,9000.0,2500.0,1300,2500,0
6,owner,36,49,married,no,freelance,60,100.0,20000.0,0.0,1000,1790,0
3,rent,48,52,married,no,fixed,96,210.0,0.0,0.0,1400,1419,1
10,rent,30,34,other,no,fixed,45,100.0,0.0,0.0,700,1480,0
0,owner,36,24,single,no,partime,45,97.0,8000.0,0.0,600,1542,0
1,rent,60,38,married,no,freelance,45,0.0,0.0,0.0,1500,1850,1
6,owner,48,24,married,no,fixed,45,227.0,3000.0,0.0,600,1380,0
5,owner,42,33,married,yes,fixed,45,140.0,20000.0,2500.0,1200,1888,0
1,rent,48,31,married,no,fixed,87,115.0,0.0,0.0,1100,1672,1
37,owner,48,63,married,no,fixed,60,150.0,3500.0,0.0,700,808,0
1,other,60,23,single,no,fixed,35,90.0,0.0,0.0,1100,1107,1
40,owner,42,61,married,no,fixed,90,275.0,12000.0,0.0,1000,1335,0
5,other,60,28,single,no,fixed,35,176.0,0.0,0.0,1190,1390,0
11,rent,60,58,married,no,fixed,71,110.0,3000.0,0.0,1150,1363,0
23,owner,60,41,married,no,fixed,75,140.0,3000.0,0.0,1450,1482,0
23,owner,60,38,married,no,fixed,45,298.0,3500.0,0.0,1900,2357,0
5,owner,60,27,married,no,fixed,75,66.0,3000.0,0.0,600,850,1
10,owner,60,55,married,no,freelance,60,0.0,10000.0,0.0,1000,1180,0
5,owner,48,40,married,no,freelance,75,145.0,6000.0,0.0,825,1617,0
31,owner,60,59,married,no,fixed,60,67.0,6500.0,0.0,1080,1114,0
4,owner,60,47,married,no,freelance,75,0.0,13500.0,0.0,1900,1976,1
10,owner,60,38,married,yes,fixed,90,80.0,3000.0,1749.0,1030,1095,1
0,other,60,25,single,no,freelance,35,0.0,0.0,0.0,800,1380,0
8,other,60,28,married,no,fixed,45,200.0,0.0,0.0,700,1529,0
2,owner,36,49,married,yes,freelance,75,154.0,14000.0,0.0,850,1263,0
3,owner,48,38,married,no,freelance,90,187.0,2500.0,750.0,1550,1600,0
35,owner,48,52,married,no,fixed,60,135.0,5000.0,0.0,1200,1400,1
3,owner,48,37,other,no,fixed,45,160.0,6000.0,2500.0,1000,1520,0
25,owner,60,42,married,no,fixed,60,133.0,9500.0,0.0,1500,1617,0
8,rent,60,54,married,no,freelance,173,230.0,5000.0,0.0,1100,1500,0
2,owner,60,30,married,no,fixed,60,154.0,3000.0,0.0,1000,1705,0
2,owner,30,26,married,no,fixed,60,50.0,3500.0,250.0,600,1292,0
17,owner,48,49,married,no,freelance,60,189.0,7000.0,0.0,1100,1294,0
3,owner,60,36,married,no,fixed,60,202.0,4600.0,1260.0,1400,1936,0
4,other,48,40,married,no,freelance,90,20.0,0.0,0.0,1850,2143,1
0,owner,12,61,married,no,other,60,40.0,4000.0,0.0,170,1394,1
2,rent,24,59,married,no,fixed,110,50.0,0.0,0.0,200,425,1
2,owner,48,49,married,no,fixed,45,125.0,4000.0,0.0,500,1600,0
30,rent,60,52,married,no,freelance,70,100.0,14500.0,0.0,1250,1563,0
11,owner,60,35,married,no,fixed,60,115.0,4000.0,75.0,1250,1284,0
5,other,60,25,married,no,fixed,75,160.0,1000.0,0.0,890,990,1
14,owner,60,30,married,no,fixed,60,70.0,4000.0,2500.0,600,1125,0
8,owner,48,28,married,no,fixed,35,220.0,4000.0,0.0,1000,1267,0
1,other,60,42,married,yes,freelance,45,0.0,0.0,0.0,1600,1780,1
1,owner,6,29,single,no,freelance,35,107.0,2000.0,0.0,300,1298,0
6,owner,60,32,married,no,fixed,75,160.0,2200.0,600.0,1550,1600,1
